Student_ID,Name,Gender,Age,Education_Level,Discipline,Skills,Preferred_Location,Fallback_City,Sector_Interest,Category,District_Type,CGPA,Percentage,Availability,Preferred_Mode,Languages_Known,Experience_Level,Project_Experience,Num_Projects,Aptitude_Score,Soft_Skills_Rating,Relocation_Willingness,Smart_City_Preference,Smart_Domain_Interest
S00057,Tamanna Radhakrishnan,Male,22,UG,Commerce,"C++, IoT, Finance, Cloud",Indore,Bhopal,Smart Mobility,SC,Rural,6.05,65,Part-time,Offline,Regional,Fresher,Yes,6,56,4,Yes,Mumbai,Water Supply
S00058,Amol Agarwal,Other,30,PG,Science,"Java, IoT, Blockchain",Vadodara,Mumbai,Finance,OBC,Urban,5.27,58,Full-time,Online,"English, Regional",2+ years,Yes,3,41,5,Yes,Coimbatore,Water Supply
S00059,Tamanna Bhavsar,Other,18,UG,Management,"Data Science, SQL, Blockchain, Public Policy",Indore,Bhopal,Public Policy,EWS,Urban,6.35,80,Part-time,Hybrid,English,Fresher,No,1,41,1,Yes,Gaya,Governance
S00060,Dalaja Nori,Male,30,PG,Science,"Web Dev, Marketing, C++, Java",Mysuru,Delhi,Smart Mobility,OBC,Urban,8.0,57,Part-time,Offline,"Regional, English",Fresher,Yes,4,48,5,No,Nagpur,Energy
S00061,Azaan Sarma,Female,28,PG,Engineering,"Cybersecurity, SQL, ML, Cloud",Gurugram,Delhi,Public Policy,OBC,Aspirational,6.93,88,Full-time,Hybrid,English,1-2 years,No,4,50,2,Yes,Patna,Mobility
S00062,Umang Kanda,Female,21,PG,Commerce,"Cybersecurity, ML",Durgapur,Chennai,Healthcare,GEN,Urban,8.69,74,Full-time,Offline,Regional,Fresher,Yes,1,43,4,No,Mumbai,Energy
S00063,Vedhika Majumdar,Male,25,PhD,Management,"Marketing, C++",Chandigarh,Delhi,Finance,GEN,Urban,8.03,82,Full-time,Hybrid,"English, Hindi",2+ years,Yes,2,81,2,Yes,Patna,Energy
S00064,Manbir Borde,Other,30,PG,Science,"Blockchain, Java, SQL",Nagpur,Chennai,E-Governance,SC,Urban,7.55,94,Part-time,Hybrid,English,Fresher,No,2,99,4,Yes,Chandigarh,Governance
S00065,Ridhi Hayer,Female,22,PhD,Engineering,"Cybersecurity, Public Policy, Web Dev, C++",Warangal,Hyderabad,Public Policy,GEN,Rural,9.63,63,Part-time,Offline,"English, Regional",1-2 years,No,4,73,1,No,Kolkata,Energy
S00066,Anjali Zacharia,Female,24,UG,Arts,"App Dev, Cloud, SQL",Kolkata,Durgapur,Research,OBC,Aspirational,7.56,91,Part-time,Online,"Regional, Hindi",1-2 years,Yes,0,46,4,No,Lucknow,Mobility
S00067,Geetika Comar,Male,29,PhD,Arts,AI,Pune,Mumbai,E-Governance,ST,Rural,6.12,76,Full-time,Hybrid,Regional,Fresher,No,3,93,3,No,Hyderabad,Governance
S00068,Ganga Sur,Other,24,PhD,Science,"AI, Web Dev, Data Science",Lucknow,Kanpur,E-Governance,GEN,Urban,6.36,71,Part-time,Hybrid,English,2+ years,Yes,0,72,1,Yes,Kolkata,Water Supply
S00069,Upadhriti Patil,Other,19,PhD,Engineering,Cybersecurity,Lucknow,Kanpur,Smart Mobility,OBC,Aspirational,6.68,63,Part-time,Hybrid,Hindi,1-2 years,No,3,93,1,Yes,Delhi,Waste Management
S00070,Nachiket Mittal,Male,23,UG,Commerce,"App Dev, Marketing",Vadodara,Pune,IT,GEN,Rural,6.67,79,Full-time,Online,"English, Hindi",1-2 years,No,5,43,3,Yes,Chandigarh,Water Supply
S00071,Ridhi Golla,Female,26,UG,Commerce,"Cybersecurity, AI",Bangalore,Mysuru,Education,ST,Urban,8.67,61,Part-time,Online,English,1-2 years,No,2,67,4,No,Ahmedabad,Mobility
S00072,Andrew Loyal,Male,26,UG,Commerce,"IoT, C++",Bangalore,Mysuru,Education,GEN,Rural,7.0,89,Part-time,Online,Hindi,1-2 years,Yes,2,77,4,No,Lucknow,Governance
S00073,Chakrika Maharaj,Female,25,UG,Science,Cloud,Gurugram,Bangalore,Finance,ST,Rural,9.95,84,Full-time,Offline,English,Fresher,Yes,2,70,4,Yes,Chennai,Waste Management
S00074,Aayush Prabhu,Male,26,PhD,Engineering,"Java, Marketing, Public Policy, Data Science",Bhopal,Indore,Manufacturing,ST,Urban,6.84,85,Part-time,Hybrid,"Regional, Hindi",Fresher,Yes,3,56,4,Yes,Lucknow,Governance
S00075,Omya Borde,Other,25,PG,Arts,"AI, SQL, Marketing, Cloud",Jaipur,Delhi,Education,EWS,Rural,6.25,56,Part-time,Hybrid,Regional,1-2 years,No,1,79,3,No,Noida,Mobility
S00076,Tarak Srivastava,Other,23,UG,Engineering,"Finance, Cybersecurity, C++",Bangalore,Mysuru,Agriculture,OBC,Rural,9.12,60,Part-time,Hybrid,Hindi,Fresher,Yes,1,88,1,Yes,Coimbatore,Healthcare
S00077,Pallavi Nayar,Female,29,PhD,Engineering,"Cybersecurity, Finance, ML, C++",Lucknow,Kanpur,Healthcare,ST,Urban,7.82,60,Part-time,Online,"English, Hindi",2+ years,No,3,79,5,No,Guwahati,Waste Management
S00078,Rajata Deo,Female,20,UG,Commerce,"Python, App Dev, SQL",Noida,Delhi,Finance,GEN,Rural,5.33,90,Full-time,Offline,"Regional, Hindi",1-2 years,No,4,82,5,No,Pune,Mobility
S00079,Benjamin Balan,Male,20,PG,Management,Data Science,Gurugram,Pune,Healthcare,ST,Rural,6.41,84,Part-time,Offline,"Regional, English",1-2 years,No,6,56,5,No,Gaya,Healthcare
S00080,Fiyaz Bakshi,Female,25,PhD,Commerce,AI,Pune,Mumbai,Manufacturing,ST,Urban,9.66,60,Full-time,Online,"Regional, English",Fresher,No,3,69,5,Yes,Kanpur,Governance
S00081,Neelima Talwar,Other,26,UG,Science,"Cloud, AI",Coimbatore,Bangalore,Public Policy,OBC,Aspirational,6.72,89,Full-time,Online,Regional,Fresher,Yes,0,40,1,No,Gurugram,Governance
S00082,Ekani Chaudhry,Other,26,UG,Science,Cybersecurity,Mysuru,Delhi,Public Policy,ST,Rural,8.57,97,Part-time,Offline,Hindi,Fresher,No,0,53,5,Yes,Gurugram,Mobility
S00083,Zayan Sami,Female,19,PhD,Arts,"Python, Java",Nagpur,Delhi,Smart Mobility,EWS,Aspirational,9.51,89,Full-time,Offline,English,1-2 years,No,4,53,3,Yes,Surat,Mobility
S00084,Upma Saran,Female,18,PhD,Arts,AI,Indore,Bhopal,Healthcare,GEN,Aspirational,7.77,76,Full-time,Online,Regional,1-2 years,Yes,6,45,2,Yes,Gurugram,Mobility
S00085,Fiyaz Mahajan,Female,18,UG,Management,"Data Science, Blockchain, IoT, ML",Pune,Mumbai,Public Policy,ST,Aspirational,7.78,97,Full-time,Hybrid,Hindi,2+ years,Yes,3,56,3,No,Bangalore,Energy
S00086,Hardik Bose,Other,23,UG,Science,App Dev,Mysuru,Mumbai,Public Policy,EWS,Urban,9.14,93,Full-time,Online,"Regional, English",Fresher,No,3,63,5,No,Guwahati,Energy
S00087,Ryan Kanda,Other,30,PhD,Arts,C++,Mumbai,Pune,Research,GEN,Urban,9.1,69,Part-time,Hybrid,English,Fresher,Yes,6,55,3,Yes,Indore,Energy
S00088,Jalsa Chakraborty,Male,21,UG,Science,AI,Kolkata,Durgapur,Manufacturing,EWS,Urban,6.35,98,Part-time,Offline,"English, Regional",Fresher,No,3,49,3,No,Indore,Healthcare
S00089,Zarna Sharaf,Other,30,UG,Arts,"Public Policy, Data Science",Noida,Delhi,E-Governance,GEN,Urban,6.11,61,Full-time,Hybrid,Regional,Fresher,No,0,50,5,No,Surat,Waste Management
S00090,Jackson Amble,Female,22,UG,Arts,"Finance, Data Science, Python, Web Dev",Patna,Gaya,Healthcare,SC,Aspirational,8.28,90,Full-time,Offline,"Hindi, Regional",Fresher,Yes,1,84,1,No,Jaipur,Healthcare
S00091,Ekiya Chanda,Female,29,UG,Management,"Cybersecurity, SQL, Finance, IoT",Bhopal,Indore,Healthcare,SC,Aspirational,9.86,62,Full-time,Offline,English,Fresher,No,4,94,3,No,Gaya,Waste Management
S00092,Chakradev Loyal,Female,27,UG,Arts,"Public Policy, ML",Warangal,Chennai,Healthcare,EWS,Urban,9.39,75,Full-time,Online,"Regional, Hindi",Fresher,No,1,46,4,No,Delhi,Healthcare
S00093,Ekta Nagar,Male,28,PhD,Science,"Python, AI",Durgapur,Bangalore,Education,EWS,Aspirational,7.84,88,Full-time,Online,Hindi,2+ years,Yes,5,77,2,Yes,Delhi,Mobility
S00094,Widisha Morar,Other,26,PG,Engineering,"SQL, Finance",Warangal,Chennai,IT,EWS,Urban,8.74,66,Full-time,Offline,Hindi,1-2 years,No,5,92,4,No,Bhopal,Governance
S00095,Upkaar Kalita,Female,26,UG,Management,"Cloud, App Dev, Python",Indore,Bhopal,Manufacturing,GEN,Rural,7.78,84,Full-time,Offline,English,Fresher,Yes,1,51,3,No,Gaya,Energy
S00096,Jeevika Sahota,Female,26,UG,Arts,"Finance, Blockchain",Vadodara,Chennai,Education,SC,Urban,8.02,96,Full-time,Online,Hindi,1-2 years,Yes,4,92,5,Yes,Coimbatore,Governance
S00097,Saanvi Oza,Female,21,PG,Engineering,"Finance, Cybersecurity, Data Science, Web Dev",Bangalore,Mysuru,Education,EWS,Rural,6.0,76,Full-time,Online,Hindi,2+ years,Yes,5,81,3,No,Kolkata,Governance
S00098,Udant Sarna,Male,27,UG,Commerce,Cloud,Guwahati,Kolkata,Agriculture,ST,Rural,5.03,65,Part-time,Online,"Hindi, Regional",1-2 years,Yes,4,71,1,Yes,Durgapur,Mobility
S00099,Sathvik Bal,Other,21,UG,Arts,"ML, Python, IoT, Finance",Jaipur,Delhi,Agriculture,ST,Urban,7.51,62,Part-time,Offline,English,1-2 years,Yes,6,62,3,No,Bhopal,Water Supply
S00100,Chandani Shenoy,Male,29,PG,Engineering,IoT,Durgapur,Hyderabad,Manufacturing,ST,Aspirational,6.52,71,Part-time,Online,"English, Hindi",1-2 years,Yes,6,42,2,No,Durgapur,Water Supply
S00101,Abha Batta,Female,27,PG,Engineering,"SQL, AI, Finance",Vadodara,Mumbai,IT,OBC,Rural,7.35,60,Part-time,Online,Hindi,Fresher,Yes,3,75,3,Yes,Gaya,Waste Management
S00102,Lekha Narayan,Female,24,UG,Engineering,"Java, Data Science",Coimbatore,Delhi,Education,GEN,Aspirational,6.61,82,Full-time,Online,Regional,1-2 years,Yes,4,89,1,No,Warangal,Water Supply
S00103,Hiral Contractor,Female,18,UG,Arts,"Web Dev, Data Science, ML",Patna,Gaya,Manufacturing,GEN,Aspirational,7.84,58,Full-time,Online,English,Fresher,No,5,81,4,No,Chandigarh,Governance
S00104,Diya Nagar,Other,27,PG,Commerce,"IoT, Web Dev",Lucknow,Kanpur,Agriculture,OBC,Rural,7.92,86,Full-time,Online,Hindi,2+ years,No,4,100,5,No,Hyderabad,Energy
S00105,Aarush Mand,Male,28,UG,Commerce,ML,Patna,Gaya,Manufacturing,EWS,Urban,8.14,68,Full-time,Hybrid,"English, Hindi",Fresher,Yes,1,80,4,Yes,Chennai,Mobility
S00106,Wyatt Baral,Female,29,PG,Arts,"SQL, Python, ML, Public Policy",Indore,Bhopal,Manufacturing,EWS,Rural,6.58,83,Full-time,Hybrid,"Hindi, Regional",1-2 years,No,4,95,1,Yes,Bhopal,Water Supply
S00107,Vasatika Atwal,Male,29,PhD,Engineering,"Cybersecurity, C++, Marketing",Noida,Delhi,Agriculture,SC,Rural,6.8,98,Part-time,Hybrid,"Regional, Hindi",1-2 years,No,3,53,1,No,Nagpur,Mobility
S00108,Nathaniel Chand,Male,29,PhD,Commerce,"C++, ML",Lucknow,Kanpur,Public Policy,EWS,Rural,9.46,65,Part-time,Hybrid,"Hindi, Regional",1-2 years,No,3,67,3,No,Chandigarh,Mobility
S00109,Gayathri Ganesh,Male,23,PG,Arts,"Cybersecurity, Web Dev",Coimbatore,Chennai,Agriculture,ST,Rural,7.88,58,Part-time,Online,"English, Hindi",Fresher,Yes,0,93,3,No,Delhi,Governance
S00110,Owen Butala,Male,25,PG,Engineering,"Data Science, Public Policy, Finance",Bhopal,Indore,E-Governance,OBC,Urban,8.44,73,Part-time,Hybrid,"Regional, English",2+ years,Yes,3,85,2,No,Chandigarh,Healthcare
S00111,Chatura Mammen,Male,27,PhD,Arts,"AI, ML, Python",Delhi,Gurugram,Public Policy,GEN,Urban,5.86,95,Part-time,Offline,"Hindi, Regional",1-2 years,No,4,81,3,Yes,Warangal,Energy
S00112,Vihaan Rao,Female,26,UG,Management,"Web Dev, IoT, Public Policy",Surat,Vadodara,Agriculture,ST,Urban,7.17,96,Part-time,Online,"Regional, Hindi",Fresher,No,1,44,4,Yes,Indore,Governance
S00113,Bhavini Mani,Other,18,UG,Arts,"Blockchain, C++, Marketing, Cybersecurity",Noida,Delhi,Smart Mobility,EWS,Aspirational,6.9,82,Full-time,Hybrid,"Hindi, English",2+ years,No,4,92,1,Yes,Chandigarh,Healthcare
S00114,Deepa Karan,Male,28,PG,Management,Public Policy,Pune,Mumbai,Education,GEN,Rural,8.17,65,Part-time,Online,Regional,Fresher,Yes,3,64,4,Yes,Jaipur,Waste Management
S00115,Arjun Mittal,Male,21,PhD,Arts,Blockchain,Bangalore,Mysuru,Agriculture,OBC,Rural,7.47,87,Full-time,Offline,English,Fresher,Yes,3,56,3,No,Bhopal,Mobility
S00116,Osha Acharya,Other,28,PhD,Commerce,"Public Policy, Java",Vadodara,Pune,IT,EWS,Urban,9.87,78,Full-time,Hybrid,"English, Regional",Fresher,No,5,58,5,Yes,Gurugram,Water Supply
S00117,Samaksh Datta,Female,25,PG,Engineering,Data Science,Lucknow,Kanpur,Finance,ST,Urban,5.2,59,Full-time,Offline,"English, Hindi",1-2 years,No,1,75,5,Yes,Mumbai,Energy
S00118,Thomas Ravi,Other,22,PhD,Engineering,"IoT, ML, Data Science, Java",Mumbai,Pune,Smart Mobility,ST,Urban,8.76,77,Full-time,Hybrid,"Regional, English",Fresher,Yes,2,67,3,No,Gurugram,Water Supply
S00119,Isaac Deshmukh,Other,30,UG,Management,"Python, Java",Bhopal,Indore,Public Policy,OBC,Rural,9.58,98,Part-time,Offline,"English, Hindi",2+ years,No,3,43,4,No,Lucknow,Energy
S00120,Jalsa Yadav,Female,24,PG,Engineering,"Blockchain, Cloud",Vadodara,Pune,Finance,EWS,Aspirational,6.63,91,Full-time,Hybrid,English,Fresher,Yes,3,98,5,Yes,Noida,Governance
S00121,Nirja Deo,Other,18,UG,Management,"Cloud, Data Science",Nagpur,Hyderabad,Public Policy,SC,Aspirational,9.52,56,Part-time,Offline,Hindi,2+ years,No,0,50,5,Yes,Ahmedabad,Mobility
S00122,Tejas Bassi,Male,21,PG,Commerce,"Java, Blockchain, AI, App Dev",Bangalore,Mysuru,Smart Mobility,OBC,Aspirational,9.91,86,Full-time,Hybrid,"Hindi, English",2+ years,No,5,47,5,No,Nagpur,Mobility
